,batch,grao,temp_amb,umid_amb,peso,timex,temp2,charge_bt_modificado,massa_grao,categoria_massa
39,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",136.6458495,85.57445418,215.23087253,2000,Acima de 2000
40,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",138.64606115,86.18080862,215.23087253,2000,Acima de 2000
41,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",140.64589985,86.78943914,215.23087253,2000,Acima de 2000
42,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",142.6462899,87.46095322,215.23087253,2000,Acima de 2000
43,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",144.6458842,88.12322464,215.23087253,2000,Acima de 2000
44,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",146.64631955,88.78080998,215.23087253,2000,Acima de 2000
45,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",148.64609465,89.45615187,215.23087253,2000,Acima de 2000
46,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",150.64624705,90.06494427,215.23087253,2000,Acima de 2000
47,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",152.645586,90.74496058,215.23087253,2000,Acima de 2000
48,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",154.64643995,91.38638795,215.23087253,2000,Acima de 2000
49,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",156.64599475,92.14854177,215.23087253,2000,Acima de 2000
50,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",158.64593955,92.94707952,215.23087253,2000,Acima de 2000
51,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",160.64570925,93.62001804,215.23087253,2000,Acima de 2000
52,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",162.6464595,94.3708439,215.23087253,2000,Acima de 2000
53,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",164.64631095,95.05213165,215.23087253,2000,Acima de 2000
54,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",166.64594335,95.73204744,215.23087253,2000,Acima de 2000
55,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",168.64643285,96.46150522,215.23087253,2000,Acima de 2000
56,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",170.64599815,97.19399128,215.23087253,2000,Acima de 2000
57,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",172.6460197,97.83396875,215.23087253,2000,Acima de 2000
58,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",174.6456639,98.60126141,215.23087253,2000,Acima de 2000
59,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",176.64630495,99.34647831,215.23087253,2000,Acima de 2000
60,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",178.64682525,100.15981887,215.23087253,2000,Acima de 2000
61,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",180.64583145,100.84537542,215.23087253,2000,Acima de 2000
62,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",182.64542895,101.49020459,215.23087253,2000,Acima de 2000
63,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",184.6461685,102.19019786,215.23087253,2000,Acima de 2000
