,cafe_do_mario,vo_mira_conilon,vo_mira_arabica,cafe_saulo_gourmet,cafe_saulo_especial,temp_amb,umid_amb,timex,temp2,charge_bt_modificado,Acima de 2000,Abaixo de 2000
62,0,0,0,0,1,30.7,0.61,123.9998493,101.49020459,215.23087253,1,0
63,0,0,0,0,1,30.7,0.61,126.00058884999999,102.19019786,215.23087253,1,0
64,0,0,0,0,1,30.7,0.61,127.9998894,102.91080798,215.23087253,1,0
65,0,0,0,0,1,30.7,0.61,130.0002015,103.64290331,215.23087253,1,0
66,0,0,0,0,1,30.7,0.61,132.00051845,104.32237755,215.23087253,1,0
67,0,0,0,0,1,30.7,0.61,133.99983029999999,104.91130322,215.23087253,1,0
68,0,0,0,0,1,30.7,0.61,136.0005817,105.58442111,215.23087253,1,0
69,0,0,0,0,1,30.7,0.61,137.9999911,106.3319241,215.23087253,1,0
70,0,0,0,0,1,30.7,0.61,140.00117075,107.01965709,215.23087253,1,0
71,0,0,0,0,1,30.7,0.61,142.00080475,107.68342361,215.23087253,1,0
72,0,0,0,0,1,30.7,0.61,144.0000983,108.3608748,215.23087253,1,0
73,0,0,0,0,1,30.7,0.61,146.00049565,108.90993053,215.23087253,1,0
74,0,0,0,0,1,30.7,0.61,148.00018275,109.55901683,215.23087253,1,0
75,0,0,0,0,1,30.7,0.61,150.00053395,110.20770583,215.23087253,1,0
76,0,0,0,0,1,30.7,0.61,152.00054525,110.84099118,215.23087253,1,0
77,0,0,0,0,1,30.7,0.61,154.0003634,111.47226336,215.23087253,1,0
78,0,0,0,0,1,30.7,0.61,156.00030395,112.0926202,215.23087253,1,0
79,0,0,0,0,1,30.7,0.61,158.00062275,112.6467601,215.23087253,1,0
80,0,0,0,0,1,30.7,0.61,160.000376,113.2918489,215.23087253,1,0
81,0,0,0,0,1,30.7,0.61,162.00101365,113.90387257,215.23087253,1,0
82,0,0,0,0,1,30.7,0.61,164.0004817,114.54966977,215.23087253,1,0
83,0,0,0,0,1,30.7,0.61,166.000953,115.12599941,215.23087253,1,0
84,0,0,0,0,1,30.7,0.61,168.00045434999998,115.76592871,215.23087253,1,0
85,0,0,0,0,1,30.7,0.61,170.0011073,116.3752957,215.23087253,1,0
86,0,0,0,0,1,30.7,0.61,172.00050844999998,116.993755,215.23087253,1,0
87,0,0,0,0,1,30.7,0.61,174.00003745,117.61852535,215.23087253,1,0
88,0,0,0,0,1,30.7,0.61,176.00056945,118.24958236,215.23087253,1,0
89,0,0,0,0,1,30.7,0.61,178.00011025,118.877837,215.23087253,1,0
90,0,0,0,0,1,30.7,0.61,179.99983275,119.48231091,215.23087253,1,0
91,0,0,0,0,1,30.7,0.61,182.00064335,120.09608528,215.23087253,1,0
92,0,0,0,0,1,30.7,0.61,184.0002294,120.71213221,215.23087253,1,0
93,0,0,0,0,1,30.7,0.61,185.99997085,121.32204014,215.23087253,1,0
