,cafe_do_mario,vo_mira_conilon,vo_mira_arabica,cafe_saulo_gourmet,cafe_saulo_especial,temp_amb,umid_amb,timex,temp2,charge_bt_modificado,Acima de 2000,Abaixo de 2000
MAX,1.0,1.0,1.0,1.0,1.0,31.8,0.64,682.00073005,224.50075916,224.50075916,1.0,1.0
MIN,0.0,0.0,0.0,0.0,0.0,26.0,0.49,0.0,68.15317994,119.39151017,0.0,0.0
